cigar_slug,vitola_slug,strength,note
montecristo-brillantes,,moyen_corse,force publiée par Habanos pour la marque (medio a fuerte)
montecristo-dumas,,moyen_corse,force publiée par Habanos pour la marque (medio a fuerte)
montecristo-eagle,,moyen_corse,force publiée par Habanos pour la marque (medio a fuerte)
montecristo-elba-e-l-2025,,moyen_corse,force publiée par Habanos pour la marque (medio a fuerte)
montecristo-especial,laguito-no-1,moyen_corse,vitole de galera standard (Especial = Laguito No. 1) ; force publiée par Habanos pour la marque (medio a fuerte)
montecristo-especial-n-2,laguito-no-2,moyen_corse,vitole de galera standard (Especial No. 2 = Laguito No. 2) ; force publiée par Habanos pour la marque (medio a fuerte)
montecristo-fragata,,moyen_corse,force publiée par Habanos pour la marque (medio a fuerte)
montecristo-herederos,,moyen_corse,force publiée par Habanos pour la marque (medio a fuerte)
montecristo-joyitas,laguito-no-3,moyen_corse,vitole de galera standard (Joyitas = Laguito No. 3) ; force publiée par Habanos pour la marque (medio a fuerte)
montecristo-junior,,moyen_corse,force publiée par Habanos pour la marque (medio a fuerte)
montecristo-leyenda,,moyen_corse,force publiée par Habanos pour la marque (medio a fuerte)
montecristo-maltes,,moyen_corse,force publiée par Habanos pour la marque (medio a fuerte)
montecristo-master,robustos,moyen_corse,vitole de galera standard (Open Master = Robustos) ; force publiée par Habanos pour la marque (medio a fuerte)
montecristo-petit-n-2,,moyen_corse,force publiée par Habanos pour la marque (medio a fuerte)
montecristo-regata,,moyen_corse,force publiée par Habanos pour la marque (medio a fuerte)
montecristo-slam,,moyen_corse,force publiée par Habanos pour la marque (medio a fuerte)
montecristo-wide-edmundo,,moyen_corse,force publiée par Habanos pour la marque (medio a fuerte)
partagas-aliados-2021,,corse,force publiée par Habanos pour la marque (fuerte)
partagas-aristocrats,petit-cetros,corse,vitole de galera standard (Aristocrats = Petit Cetros) ; force publiée par Habanos pour la marque (fuerte)
partagas-cedros,,corse,force publiée par Habanos pour la marque (fuerte)
partagas-habaneros,,corse,force publiée par Habanos pour la marque (fuerte)
partagas-legado-edition-limitee-2020,,corse,force publiée par Habanos pour la marque (fuerte)
partagas-maduro-n-1,,corse,force publiée par Habanos pour la marque (fuerte)
partagas-maduro-n-2,,corse,force publiée par Habanos pour la marque (fuerte)
partagas-maduros-n-3,,corse,force publiée par Habanos pour la marque (fuerte)
partagas-maestro,,corse,force publiée par Habanos pour la marque (fuerte)
partagas-mille-fleurs,mareva,corse,vitole de galera standard (Mille Fleurs = Marevas) ; force publiée par Habanos pour la marque (fuerte)
partagas-origen,,corse,force publiée par Habanos pour la marque (fuerte)
partagas-petit-coronas-especiales,eminentes,corse,vitole de galera standard (Petit Coronas Especiales = Eminentes) ; force publiée par Habanos pour la marque (fuerte)
partagas-rito,,corse,force publiée par Habanos pour la marque (fuerte)
partagas-royales,,corse,force publiée par Habanos pour la marque (fuerte)
partagas-serie-d-n-6,,corse,force publiée par Habanos pour la marque (fuerte)
partagas-super-partagas,cremas,corse,vitole de galera standard (Super Partagás = Cremas) ; force publiée par Habanos pour la marque (fuerte)
por-larranaga-galanes,,leger_moyen,force publiée par Habanos pour la marque (ligero a medio)
por-larranaga-montecarlo,deliciosos,leger_moyen,vitole de galera standard (Montecarlo = Deliciosos) ; force publiée par Habanos pour la marque (ligero a medio)
por-larranaga-picadores-cdh-hs,,leger_moyen,force publiée par Habanos pour la marque (ligero a medio)
por-larranaga-prometidos-edition-regionale-2021,,leger_moyen,force publiée par Habanos pour la marque (ligero a medio)
punch-princesas-e-l-2025,,moyen_corse,force publiée par Habanos pour la marque (medio a fuerte)
punch-punch-48-cdh-hs,,moyen_corse,force publiée par Habanos pour la marque (medio a fuerte)
punch-triunfos,,moyen_corse,force publiée par Habanos pour la marque (medio a fuerte)
quai-d-orsay-cubano-ed-reg-2016,,leger_moyen,force publiée par Habanos pour la marque (ligero a medio)
quai-d-orsay-d-orsay,,leger_moyen,force publiée par Habanos pour la marque (ligero a medio)
quai-d-orsay-edition-regionale,,leger_moyen,force publiée par Habanos pour la marque (ligero a medio)
quai-d-orsay-edition-regionale-2020,,leger_moyen,force publiée par Habanos pour la marque (ligero a medio)
quintero-londres-extra,standard,,vitole de galera standard (Londres Extra = Standard)
rafael-gonzalez-coronas-de-lonsdales,cervantes,leger_moyen,vitole de galera standard (Coronas de Lonsdales = Cervantes) ; force publiée par Habanos pour la marque (ligero a medio)
rafael-gonzalez-panetelas-extra,,leger_moyen,force publiée par Habanos pour la marque (ligero a medio)
rafael-gonzalez-petit-coronas,mareva,leger_moyen,vitole de galera standard (Petit Coronas = Marevas) ; force publiée par Habanos pour la marque (ligero a medio)
ramon-allones-absolutos-edition-limitee-2024,,corse,force publiée par Habanos pour la marque (fuerte)
ramon-allones-allones-n-3,,corse,force publiée par Habanos pour la marque (fuerte)
ramon-allones-allones-specially-selected,robustos,corse,vitole de galera standard (Specially Selected = Robustos) ; force publiée par Habanos pour la marque (fuerte)
romeo-y-julieta-amantes,,moyen,force publiée par Habanos pour la marque (medio)
romeo-y-julieta-belvederes,,moyen,force publiée par Habanos pour la marque (medio)
romeo-y-julieta-cazadores,cazadores,moyen,vitole de galera standard (Cazadores) ; force publiée par Habanos pour la marque (medio)
romeo-y-julieta-cedros-de-luxe-n-2,corona,moyen,vitole de galera standard (Cedros de Luxe No. 2 = Coronas) ; force publiée par Habanos pour la marque (medio)
romeo-y-julieta-cedros-de-luxe-n-3,mareva,moyen,vitole de galera standard (Cedros de Luxe No. 3 = Marevas) ; force publiée par Habanos pour la marque (medio)
romeo-y-julieta-coronitas-en-cedro,,moyen,force publiée par Habanos pour la marque (medio)
romeo-y-julieta-cupidos,,moyen,force publiée par Habanos pour la marque (medio)
romeo-y-julieta-dianas,,moyen,force publiée par Habanos pour la marque (medio)
romeo-y-julieta-hidalgos,,moyen,force publiée par Habanos pour la marque (medio)
romeo-y-julieta-nobles,,moyen,force publiée par Habanos pour la marque (medio)
romeo-y-julieta-petit-coronas,mareva,moyen,vitole de galera standard (Petit Coronas = Marevas) ; force publiée par Habanos pour la marque (medio)
romeo-y-julieta-petit-julietas,,moyen,force publiée par Habanos pour la marque (medio)
romeo-y-julieta-petit-royales,,moyen,force publiée par Habanos pour la marque (medio)
romeo-y-julieta-regalias-de-londres,,moyen,force publiée par Habanos pour la marque (medio)
romeo-y-julieta-short-churchills-reserva-cosecha-2019,robustos,moyen,vitole de galera standard (Short Churchills = Robustos) ; force publiée par Habanos pour la marque (medio)
romeo-y-julieta-sport-largos,,moyen,force publiée par Habanos pour la marque (medio)
romeo-y-julieta-wide-churchills,,moyen,force publiée par Habanos pour la marque (medio)
san-cristobal-de-la-habana-la-fuerza,gordito,moyen,vitole de galera standard (La Fuerza = Gorditos) ; force publiée par Habanos pour la marque (medio)
san-cristobal-de-la-habana-la-punta,campanas,moyen,vitole de galera standard (La Punta = Campanas) ; force publiée par Habanos pour la marque (medio)
san-cristobal-de-la-habana-prado-cdh,,moyen,force publiée par Habanos pour la marque (medio)
sancho-panza-non-plus,mareva,leger_moyen,vitole de galera standard (Non Plus = Marevas) ; force publiée par Habanos pour la marque (ligero a medio)
trinidad-cabildos-edition-limitee-2024,,moyen,force publiée par Habanos pour la marque (medio)
trinidad-corsel,,moyen,force publiée par Habanos pour la marque (medio)
trinidad-esmeralda,,moyen,force publiée par Habanos pour la marque (medio)
trinidad-fundadores,,moyen,force publiée par Habanos pour la marque (medio)
trinidad-media-luna,,moyen,force publiée par Habanos pour la marque (medio)
trinidad-robusto-extra,canonazo,moyen,vitole de galera standard (Robusto Extra = Cañonazo) ; force publiée par Habanos pour la marque (medio)
trinidad-vigia,,moyen,force publiée par Habanos pour la marque (medio)
vegas-robaina-famosos,hermosos-no-4,moyen_corse,vitole de galera standard (Famosos = Hermosos No. 4 — cotes de la vitole à vérifier, voir 03_vitolas.csv) ; force publiée par Habanos pour la marque (medio a fuerte)
vegas-robaina-unicos,piramides,moyen_corse,vitole de galera standard (Únicos = Pirámides) ; force publiée par Habanos pour la marque (medio a fuerte)
vegueros-centrofinos,,moyen_corse,force publiée par Habanos pour la marque (medio a fuerte)
vegueros-centrogordos,,moyen_corse,force publiée par Habanos pour la marque (medio a fuerte)
vegueros-mananitas,,moyen_corse,force publiée par Habanos pour la marque (medio a fuerte)
vegueros-tapados,,moyen_corse,force publiée par Habanos pour la marque (medio a fuerte)
