brand_slug,vitola_slug,commercial_name,slug,origin_country,wrapper_origin,binder_origin,filler_origins,wrapper_shade,strength,release_type,release_year,status,notes
montecristo,petit-edmundo,Petit Edmundo,montecristo-petit-edmundo,CU,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,colorado,moyen_corse,regular,2006,draft,
montecristo,duke,Double Edmundo,montecristo-double-edmundo,CU,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,colorado,moyen_corse,regular,2013,draft,
montecristo,perlas,Media Corona,montecristo-media-corona,CU,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,colorado,moyen,regular,2010,draft,
partagas,robustos,Serie D No. 4,partagas-serie-d-no-4,CU,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,colorado_maduro,corse,regular,1970,draft,
partagas,petit-robustos,Serie D No. 5,partagas-serie-d-no-5,CU,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,colorado_maduro,corse,regular,2012,draft,
partagas,duke,Serie E No. 2,partagas-serie-e-no-2,CU,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,colorado_maduro,corse,regular,2011,draft,
partagas,piramides,Serie P No. 2,partagas-serie-p-no-2,CU,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,colorado_maduro,corse,regular,2005,draft,
partagas,prominentes,Lusitanias,partagas-lusitanias,CU,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,colorado_maduro,corse,regular,1930,draft,
partagas,perlas,Shorts,partagas-shorts,CU,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,colorado_maduro,corse,regular,1970,draft,
partagas,dalias,8-9-8,partagas-8-9-8,CU,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,colorado,moyen_corse,regular,1930,draft,
partagas,gordito,Presidentes,partagas-presidentes,CU,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,colorado,moyen_corse,regular,2010,draft,
romeo-y-julieta,julieta-no-2,Churchill,romeo-y-julieta-churchill,CU,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,colorado_claro,moyen,regular,1875,draft,
romeo-y-julieta,robustos,Short Churchill,romeo-y-julieta-short-churchill,CU,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,colorado_claro,moyen,regular,2006,draft,
romeo-y-julieta,petit-robustos,Petit Churchill,romeo-y-julieta-petit-churchill,CU,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,colorado_claro,moyen,regular,2013,draft,
romeo-y-julieta,hermosos-no-4,Exhibición No. 4,romeo-y-julieta-exhibicion-no-4,CU,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,colorado_claro,moyen,regular,1875,draft,
romeo-y-julieta,campanas,Belicosos,romeo-y-julieta-belicosos,CU,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,colorado_claro,moyen,regular,1875,draft,
romeo-y-julieta,mareva,Mille Fleurs,romeo-y-julieta-mille-fleurs,CU,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,colorado_claro,leger_moyen,regular,1875,draft,
h-upmann,hermosos-no-4,Connoisseur A,h-upmann-connoisseur-a,CU,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,colorado_claro,leger_moyen,regular,1990,draft,
h-upmann,perlas,Coronas Junior,h-upmann-coronas-junior,CU,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,colorado_claro,leger_moyen,regular,1990,draft,
h-upmann,julieta-no-2,Sir Winston,h-upmann-sir-winston,CU,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,colorado,moyen,regular,1950,draft,
h-upmann,piramides,No. 2,h-upmann-no-2,CU,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,colorado_claro,moyen,regular,1990,draft,
h-upmann,corona,Magnum 46,h-upmann-magnum-46,CU,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,colorado_claro,leger_moyen,regular,2004,draft,
hoyo-de-monterrey,coronas-gordas,Epicure No. 1,hoyo-de-monterrey-epicure-no-1,CU,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,colorado_claro,leger_moyen,regular,1960,draft,
hoyo-de-monterrey,robustos,Epicure No. 2,hoyo-de-monterrey-epicure-no-2,CU,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,colorado_claro,leger_moyen,regular,1960,draft,
hoyo-de-monterrey,gordito,Epicure Especial,hoyo-de-monterrey-epicure-especial,CU,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,colorado,moyen,regular,2011,draft,
hoyo-de-monterrey,petit-robustos,Petit Robustos,hoyo-de-monterrey-petit-robustos,CU,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,colorado_claro,leger_moyen,regular,2004,draft,
hoyo-de-monterrey,prominentes,Double Coronas,hoyo-de-monterrey-double-coronas,CU,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,colorado,moyen,regular,1960,draft,
trinidad,eminentes,Coloniales,trinidad-coloniales,CU,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,colorado,moyen,regular,2003,draft,
trinidad,trabucos,Reyes,trinidad-reyes,CU,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,colorado,leger_moyen,regular,2007,draft,
trinidad,edmundo,Topes,trinidad-topes,CU,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,colorado,moyen,regular,2016,draft,
bolivar,campanas,Belicosos Finos,bolivar-belicosos-finos,CU,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,colorado_maduro,corse,regular,1950,draft,
bolivar,robustos,Royal Coronas,bolivar-royal-coronas,CU,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,colorado_maduro,corse,regular,1990,draft,
bolivar,mareva,Petit Coronas,bolivar-petit-coronas,CU,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,colorado_maduro,corse,regular,1950,draft,
punch,coronas-gordas,Punch Punch,punch-punch-punch,CU,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,colorado,moyen,regular,1960,draft,
punch,perlas,Short de Punch,punch-short-de-punch,CU,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,colorado,moyen,regular,1960,draft,
punch,prominentes,Double Coronas,punch-double-coronas,CU,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,colorado,moyen,regular,1960,draft,
ramon-allones,robustos,Specially Selected,ramon-allones-specially-selected,CU,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,colorado_maduro,corse,regular,1970,draft,
ramon-allones,prominentes,Gigantes,ramon-allones-gigantes,CU,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,colorado_maduro,corse,regular,1970,draft,
juan-lopez,robustos,Selección No. 2,juan-lopez-seleccion-no-2,CU,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,colorado,moyen_corse,regular,1990,draft,
el-rey-del-mundo,hermosos-no-4,Choix Supreme,el-rey-del-mundo-choix-supreme,CU,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,colorado_claro,leger_moyen,regular,1960,draft,
saint-luis-rey,hermosos-no-4,Regios,saint-luis-rey-regios,CU,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,colorado_maduro,corse,regular,1940,draft,
sancho-panza,campanas,Belicosos,sancho-panza-belicosos,CU,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,colorado_claro,leger_moyen,regular,1960,draft,
rafael-gonzalez,perlas,Perlas,rafael-gonzalez-perlas,CU,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,colorado_claro,leger,regular,1928,draft,
diplomaticos,piramides,No. 2,diplomaticos-no-2,CU,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,colorado,moyen,regular,1966,draft,
vegas-robaina,prominentes,Don Alejandro,vegas-robaina-don-alejandro,CU,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,colorado,moyen_corse,regular,1997,draft,
quai-d-orsay,corona,Coronas Claro,quai-d-orsay-coronas-claro,CU,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,claro,leger,regular,1973,draft,
por-larranaga,mareva,Petit Coronas,por-larranaga-petit-coronas,CU,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,colorado_claro,leger_moyen,regular,1834,draft,
la-gloria-cubana,dalias,Medaille d'Or No. 2,la-gloria-cubana-medaille-d-or-no-2,CU,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,colorado,moyen,regular,1885,draft,
fonseca,corona,Cosacos,fonseca-cosacos,CU,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,claro,leger,regular,1892,draft,
cuaba,salomones,Salomones,cuaba-salomones,CU,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,colorado,moyen_corse,regular,1996,draft,
san-cristobal-de-la-habana,perlas,El Principe,san-cristobal-de-la-habana-el-principe,CU,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,colorado,leger_moyen,regular,1999,draft,
vegueros,petit-edmundo,Entretiempos,vegueros-entretiempos,CU,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,colorado,moyen,regular,2014,draft,
quintero,mareva,Favoritos,quintero-favoritos,CU,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,colorado,leger_moyen,regular,1924,draft,
la-flor-de-cano,robustos,Selectos,la-flor-de-cano-selectos,CU,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,Cuba — Vuelta Abajo,colorado,moyen,regular,1884,draft,
padron,,1964 Anniversary Exclusivo,padron-1964-anniversary-exclusivo,NI,,,,maduro,corse,regular,,draft,Vitole à renseigner. Format annoncé par la manufacture : robusto.
padron,,1926 Serie No. 9,padron-1926-serie-no-9,NI,,,,maduro,corse,regular,,draft,Vitole à renseigner. Format annoncé par la manufacture : robusto.
padron,,Family Reserve No. 45,padron-family-reserve-no-45,NI,,,,maduro,corse,regular,,draft,Vitole à renseigner. Format annoncé par la manufacture : toro.
arturo-fuente,,Hemingway Short Story,arturo-fuente-hemingway-short-story,DO,,,,colorado_maduro,moyen,regular,,draft,Vitole à renseigner. Format annoncé par la manufacture : rothschild.
arturo-fuente,,Don Carlos No. 4,arturo-fuente-don-carlos-no-4,DO,,,,colorado_maduro,moyen_corse,regular,,draft,Vitole à renseigner. Format annoncé par la manufacture : corona extra.
arturo-fuente,,Chateau Fuente,arturo-fuente-chateau-fuente,DO,,,,colorado,moyen,regular,,draft,Vitole à renseigner. Format annoncé par la manufacture : rothschild.
fuente-fuente-opusx,,Robusto,fuente-fuente-opusx-robusto,DO,,,,colorado_maduro,corse,regular,,draft,Vitole à renseigner. Format annoncé par la manufacture : robusto.
oliva,,Serie V Melanio Robusto,oliva-serie-v-melanio-robusto,NI,,,,colorado_maduro,moyen_corse,regular,,draft,Vitole à renseigner. Format annoncé par la manufacture : robusto.
oliva,,Serie O Toro,oliva-serie-o-toro,NI,,,,colorado,moyen,regular,,draft,Vitole à renseigner. Format annoncé par la manufacture : toro.
my-father,,Le Bijou 1922 Torpedo,my-father-le-bijou-1922-torpedo,NI,,,,colorado_maduro,corse,regular,,draft,Vitole à renseigner. Format annoncé par la manufacture : piramides.
my-father,,No. 2 Belicoso,my-father-no-2-belicoso,NI,,,,colorado_maduro,corse,regular,,draft,Vitole à renseigner. Format annoncé par la manufacture : campanas.
flor-de-las-antillas,,Toro Gordo,flor-de-las-antillas-toro-gordo,NI,,,,colorado,moyen_corse,regular,,draft,Vitole à renseigner. Format annoncé par la manufacture : toro.
liga-privada,,No. 9 Robusto,liga-privada-no-9-robusto,NI,,,,oscuro,corse,regular,,draft,Vitole à renseigner. Format annoncé par la manufacture : robusto.
liga-privada,,T52 Toro,liga-privada-t52-toro,NI,,,,maduro,corse,regular,,draft,Vitole à renseigner. Format annoncé par la manufacture : toro.
undercrown,,Maduro Robusto,undercrown-maduro-robusto,NI,,,,maduro,moyen_corse,regular,,draft,Vitole à renseigner. Format annoncé par la manufacture : robusto.
herrera-esteli,,Norteño Robusto,herrera-esteli-norteno-robusto,NI,,,,colorado_maduro,moyen_corse,regular,,draft,Vitole à renseigner. Format annoncé par la manufacture : robusto.
joya-de-nicaragua,,Antaño 1970 Robusto Grande,joya-de-nicaragua-antano-1970-robusto-grande,NI,,,,colorado_maduro,corse,regular,,draft,Vitole à renseigner. Format annoncé par la manufacture : toro.
joya-de-nicaragua,,Cinco Décadas Diadema,joya-de-nicaragua-cinco-decadas-diadema,NI,,,,colorado,moyen_corse,regular,,draft,Vitole à renseigner. Format annoncé par la manufacture : piramides.
perdomo,,10th Anniversary Champagne Robusto,perdomo-10th-anniversary-champagne-robusto,NI,,,,claro,moyen,regular,,draft,Vitole à renseigner. Format annoncé par la manufacture : robusto.
rocky-patel,,Decade Robusto,rocky-patel-decade-robusto,NI,,,,colorado_maduro,moyen_corse,regular,,draft,Vitole à renseigner. Format annoncé par la manufacture : robusto.
plasencia,,Alma Fuerte Sixto II,plasencia-alma-fuerte-sixto-ii,NI,,,,colorado_maduro,corse,regular,,draft,Vitole à renseigner. Format annoncé par la manufacture : toro.
plasencia,,Alma del Campo Guajiro,plasencia-alma-del-campo-guajiro,NI,,,,colorado,moyen_corse,regular,,draft,Vitole à renseigner. Format annoncé par la manufacture : toro.
aj-fernandez,,New World Puro Especial Robusto,aj-fernandez-new-world-puro-especial-robusto,NI,,,,colorado_maduro,moyen_corse,regular,,draft,Vitole à renseigner. Format annoncé par la manufacture : robusto.
foundation-cigar-company,,Tabernacle Robusto,foundation-cigar-company-tabernacle-robusto,NI,,,,oscuro,corse,regular,,draft,Vitole à renseigner. Format annoncé par la manufacture : robusto.
foundation-cigar-company,,Charter Oak Rothschild,foundation-cigar-company-charter-oak-rothschild,NI,,,,colorado,moyen,regular,,draft,Vitole à renseigner. Format annoncé par la manufacture : rothschild.
tatuaje,,Black Label Robusto,tatuaje-black-label-robusto,NI,,,,maduro,corse,regular,,draft,Vitole à renseigner. Format annoncé par la manufacture : robusto.
illusione,,Epernay Le Ferme,illusione-epernay-le-ferme,NI,,,,colorado,moyen,regular,,draft,Vitole à renseigner. Format annoncé par la manufacture : toro.
crowned-heads,,Four Kicks Robusto,crowned-heads-four-kicks-robusto,NI,,,,colorado,moyen_corse,regular,,draft,Vitole à renseigner. Format annoncé par la manufacture : robusto.
davidoff,,Grand Cru No. 3,davidoff-grand-cru-no-3,DO,,,,claro,leger_moyen,regular,,draft,Vitole à renseigner. Format annoncé par la manufacture : corona.
davidoff,,Nicaragua Toro,davidoff-nicaragua-toro,NI,,,,colorado_maduro,moyen_corse,regular,,draft,Vitole à renseigner. Format annoncé par la manufacture : toro.
davidoff,,Winston Churchill Robusto,davidoff-winston-churchill-robusto,DO,,,,colorado,moyen,regular,,draft,Vitole à renseigner. Format annoncé par la manufacture : robusto.
avo,,Classic No. 2,avo-classic-no-2,DO,,,,colorado_claro,leger_moyen,regular,,draft,Vitole à renseigner. Format annoncé par la manufacture : corona.
ashton,,VSG Robusto,ashton-vsg-robusto,DO,,,,colorado_maduro,corse,regular,,draft,Vitole à renseigner. Format annoncé par la manufacture : robusto.
ashton,,Classic Corona,ashton-classic-corona,DO,,,,claro,leger,regular,,draft,Vitole à renseigner. Format annoncé par la manufacture : corona.
la-flor-dominicana,,Andalusian Bull,la-flor-dominicana-andalusian-bull,DO,,,,colorado_maduro,corse,regular,,draft,Vitole à renseigner. Format annoncé par la manufacture : piramides.
la-flor-dominicana,,Ligero L-500,la-flor-dominicana-ligero-l-500,DO,,,,colorado_maduro,corse,regular,,draft,Vitole à renseigner. Format annoncé par la manufacture : toro.
la-aurora,,107 Robusto,la-aurora-107-robusto,DO,,,,colorado,moyen,regular,,draft,Vitole à renseigner. Format annoncé par la manufacture : robusto.
e-p-carrillo,,Encore Majestic,e-p-carrillo-encore-majestic,DO,,,,colorado_maduro,moyen_corse,regular,,draft,Vitole à renseigner. Format annoncé par la manufacture : toro.
e-p-carrillo,,Pledge Prequel,e-p-carrillo-pledge-prequel,DO,,,,colorado_maduro,corse,regular,,draft,Vitole à renseigner. Format annoncé par la manufacture : robusto.
macanudo,,Café Hyde Park,macanudo-cafe-hyde-park,DO,,,,claro,leger,regular,,draft,Vitole à renseigner. Format annoncé par la manufacture : rothschild.
camacho,,Corojo Robusto,camacho-corojo-robusto,HN,,,,colorado_maduro,corse,regular,,draft,Vitole à renseigner. Format annoncé par la manufacture : robusto.
quesada,,Casa Magna Colorado Robusto,quesada-casa-magna-colorado-robusto,DO,,,,colorado,moyen_corse,regular,,draft,Vitole à renseigner. Format annoncé par la manufacture : robusto.
j-c-newman,,Brick House Toro,j-c-newman-brick-house-toro,NI,,,,colorado,moyen,regular,,draft,Vitole à renseigner. Format annoncé par la manufacture : toro.
villiger,,La Flor de Ynclan Robusto,villiger-la-flor-de-ynclan-robusto,DO,,,,colorado,moyen,regular,,draft,Vitole à renseigner. Format annoncé par la manufacture : robusto.
casa-turrent,,1880 Claro Robusto,casa-turrent-1880-claro-robusto,MX,,,,claro,leger_moyen,regular,,draft,Vitole à renseigner. Format annoncé par la manufacture : robusto.
